English Term,Tamil Term,Explanation,english_description
access control,அணுகல் கட்டுப்பாடு,அணுகல் கட்டுப்பாடு என்பது ஒரு கணினி அமைப்பில் அல்லது இணைய யமைப்பில் உள்ள தகவல்களை அணுகுவதற்கான அனுமதியை கட்டுப்படுத்தும் செயல்முறை ஆகும். இது இணைய யமைப்பில் தகவல்களை பாதுகாக்க உதவுகிறது.,Access control is the process of restricting access to information on a computer system or network.It helps to protect information on the network.
access control entry,அணுகல் கட்டுப்பாடு நுழைவு,"அணுகல் கட்டுப்பாடு நுழைவு என்பது ஒரு நிர்வாக அமைப்பின் மூலம் ஒரு பயனர் அல்லதுமுறைமை ஒரு குறிப்பிட்ட வளத்தை அணுக அனுமதிக்கும் ஒரு விதியாகும். இது பாதுகாப்பு, அணுகல் அனுமதி, மற்றும் அணுகல் மறுக்கப்படும் போன்ற விஷயங்களை கட்டுப்படுத்துகிறது.","An Access Control Entry is a rule that allows a user or organization to access a specific resource through an administrative system.It controls things like security, access granted, and access denied."
access control matrix,அணுகல் கட்டுப்பாட்டு அணி,"அணுகல் கட்டுப்பாட்டு அணி என்பது ஒரு கணினி அமைப்பில் உள்ள பயனர்கள் அல்லது செயல்முறைகளுக்கு ஏதேனும் சிறப்பு வளங்களை அணுகவும், அவற்றைப் பயன்படுத்துவதை கட்டுப்படுத்தவும் உதவும் ஒரு அணி ஆகும். அதிகாரப்பூர்வ பயனர்கள் அல்லது செயல்முறைகள் மட்டுமே வளங்களை அணுக முடியும் என்பதை உறுதி செய்வதற்கு இந்த அணி உதவுகிறது.",An Access Control Matrix is ​​a matrix that allows users or processes in a computer system to access and control the use of any special resources.This command helps ensure that only authorized users or processes can access resources.
access control mechanism,அணுகல் கட்டுப்பாட்டு முறை,"அணுகல் கட்டுப்பாட்டு முறை என்பது ஒரு கணினி அமைப்பின் வளங்களைப் பயன்படுத்துவதற்கு அங்கீகரிக்கப்பட்ட பயனர்களைக் கட்டுப்படுத்தும் ஒரு பாதுகாப்பு ஏற்பாடு ஆகும். இது அங்கீகரிக்கப்படாத பயனர்களின் அணுகலைத் தடுக்கவும், அங்கீகரிக்கப்பட்ட பயனர்களின் அணுகலை அங்கீகரிக்கவும் உதவுகிறது.",An access control mechanism is a security arrangement that restricts authorized users from using the resources of a computer system.It helps to block access by unauthorized users and authorize access by authorized users.
access control model,அணுகல் கட்டுப்பாட்டு படிமம்,"அணுகல் கட்டுப்பாட்டு படிமம் என்பது ஒரு கணினிக் கட்டுப்பாட்டு முறையாகும், இது கணினி வளங்கள் மற்றும் தரவுகளை அணுகுவதற்கான செயல்பாட்டை கட்டுப்படுத்துகிறது மற்றும் ஒரு நிர்வாகத் தொடர்பாளர் பயனர்கள் அல்லது கொடுக்கப்பட்ட பயனர் குழுக்களுக்கு ஒரு நிர்ணயிக்கப்பட்ட அணுகல் அளவை வழங்கலாம்.",An Access Control Model is a system control method that restricts the functionality of accessing system resources and data and an administrative administrator can grant a set level of access to users or given user groups.
access control policy,அணுகல் கட்டுப்பாட்டுக் கொள்கை,"அணுகல் கட்டுப்பாட்டுக் கொள்கை என்பது ஒரு கணினிமுறைமை அல்லது இணைய யமைப்பின் பாதுகாப்பை பராமரிக்க உதவும் ஒரு விதிமுறையாகும். இந்த கொள்கையின் மூலம், பயனர்களின் அணுகல் உரிமைகள் மற்றும் அதிகாரங்கள் கட்டுப்படுத்தப்படுகின்றன.","An Access Control Policy is a set of rules that help maintain the security of a computer system or network.Through this policy, the access rights and powers of the users are controlled."
access control policy tool,அணுகல் கட்டுப்பாட்டு கொள்கை கருவி,"அணுகல் கட்டுப்பாட்டு கொள்கை கருவி என்பது ஒரு நிறுவனத்தில் அல்லது ஒரு கணினி அமைப்பில் யார், எப்போது, எப்படி ஒரு குறிப்பிட்ட ஆதாரத்தை அல்லது தரவை அணுகலாம் என்பதை நிர்ணயிக்கும் கொள்கைகளை உருவாக்க, நிர்வகித்தல், மற்றும் செயல்படுத்தும் ஒரு மென்பொருள் கருவி ஆகும். இது தகவல் பாதுகாப்புக்கு முக்கியமானது.","An Access Control Policy Tool is a software tool used to create, manage, and enforce policies that determine who, when, and how access to a particular resource or data can occur in an organization or on a computer system.This is important for information security."
access control rule,அணுகல் கட்டுப்பாட்டு விதி,"அணுகல் கட்டுப்பாட்டு விதி என்பது கணினிமுறைமை  கள், நெட்வொர்க்குகள் அல்லது தரவுகளுக்கு அணுகலை கட்டுப்படுத்தும் ஒரு பாதுகாப்பு விதியாகும். இது அனைத்து பயனர்களுக்கும் அல்லது குறிப்பிட்ட பயனர்களுக்கு அணுகலை அனுமதிக்கவோ அல்லது மறுக்கவோ வழிவகுக்கிறது.","An Access Control Rule is a security rule that controls access to computer systems, networks, or data.This leads to allowing or denying access to all users or specific users."
access control rule logic circuit simulation,அணுகல் கட்டுப்பாட்டு விதி ஏரண ம் மின்சுற்று  உருவகப்படுத்துதல்,"அணுகல் கட்டுப்பாட்டு விதி ஏரண ம் மின்சுற்று  உருவகப்படுத்துதல் என்பது ஒரு கணினி அமைப்பை பாதுகாக்கும் வழிமுறையாகும். இது அணுகல் கட்டுப்பாட்டு விதிகளை படிமம்ப்படுத்தி, அவற்றை உருவகப்படுத்தி, பாதுகாப்பு அமைப்பின் ஏரண த்தை சோதிக்க பயன்படுகிறது.","Access Control Rule Logic Circuit Simulation is a method of securing a computer system.It is used to model access control rules, simulate them and test the logic of the security system."
access control system,அணுகல் கட்டுப்பாட்டுமுறைமை  ,"அணுகல் கட்டுப்பாட்டுமுறைமை என்பது கணினிமுறைமை  கள் அல்லது இணைய யமைப்புகளில் அற்புதமான பாதுகாப்பை வழங்குவதற்காக அணுகலை கட்டுப்படுத்துவதற்கான ஒரு முறையாகும். இது அங்கீகாரம், அங்கீகாரம் மற்றும் அணுகல் கட்டுப்பாடு போன்ற பாதுகாப்பு கூறுகளை உள்ளடக்கியது.","An access control system is a method of controlling access to computer systems or networks to provide enhanced security.It includes security elements such as authentication, authorization and access control."
